"","Country","Beverage Types","year","Alcohol..recorded.per.capita..15...consumption..in.litres.of.pure.alcohol."
"1","Afghanistan"," All types",2009,0.01
"2","Afghanistan"," All types",2008,0.03
"3","Afghanistan"," All types",2007,0.02
"4","Afghanistan"," All types",2006,0.03
"5","Afghanistan"," All types",2005,0.02
"6","Afghanistan"," All types",2004,NA
"7","Afghanistan"," All types",2003,NA
"8","Afghanistan"," All types",2002,NA
"9","Afghanistan"," All types",2001,NA
"10","Afghanistan"," All types",2000,NA
"11","Afghanistan"," Beer",2009,0.01
"12","Afghanistan"," Beer",2008,0.01
"13","Afghanistan"," Beer",2007,0.01
"14","Afghanistan"," Beer",2006,0.01
"15","Afghanistan"," Beer",2005,0.01
"16","Afghanistan"," Beer",2004,NA
"17","Afghanistan"," Beer",2003,NA
"18","Afghanistan"," Beer",2002,NA
"19","Afghanistan"," Beer",2001,NA
"20","Afghanistan"," Beer",2000,NA
"21","Afghanistan"," Wine",2009,0
"22","Afghanistan"," Wine",2008,0
"23","Afghanistan"," Wine",2007,0.01
"24","Afghanistan"," Wine",2006,0.01
"25","Afghanistan"," Wine",2005,0
"26","Afghanistan"," Wine",2004,NA
"27","Afghanistan"," Wine",2003,NA
"28","Afghanistan"," Wine",2002,NA
"29","Afghanistan"," Wine",2001,NA
"30","Afghanistan"," Wine",2000,NA
"31","Afghanistan"," Spirits",2009,0
"32","Afghanistan"," Spirits",2008,0.02
"33","Afghanistan"," Spirits",2007,0
"34","Afghanistan"," Spirits",2006,0.01
"35","Afghanistan"," Spirits",2005,0.01
"36","Afghanistan"," Spirits",2004,NA
"37","Afghanistan"," Spirits",2003,NA
"38","Afghanistan"," Spirits",2002,NA
"39","Afghanistan"," Spirits",2001,NA
"40","Afghanistan"," Spirits",2000,NA
"41","Afghanistan"," Other alcoholic beverages",2009,0
"42","Afghanistan"," Other alcoholic beverages",2008,0
"43","Afghanistan"," Other alcoholic beverages",2007,0
"44","Afghanistan"," Other alcoholic beverages",2006,0
"45","Afghanistan"," Other alcoholic beverages",2005,0
"46","Afghanistan"," Other alcoholic beverages",2004,NA
"47","Afghanistan"," Other alcoholic beverages",2003,NA
"48","Afghanistan"," Other alcoholic beverages",2002,NA
"49","Afghanistan"," Other alcoholic beverages",2001,NA
"50","Afghanistan"," Other alcoholic beverages",2000,NA
"51","Albania"," All types",2009,5.79
"52","Albania"," All types",2008,5.56
"53","Albania"," All types",2007,5.46
"54","Albania"," All types",2006,5.17
"55","Albania"," All types",2005,4.98
"56","Albania"," All types",2004,4.42
"57","Albania"," All types",2003,4.33
"58","Albania"," All types",2002,3.96
"59","Albania"," All types",2001,4.51
"60","Albania"," All types",2000,3.92
"61","Albania"," Beer",2009,2.21
"62","Albania"," Beer",2008,2.13
"63","Albania"," Beer",2007,1.94
"64","Albania"," Beer",2006,1.79
"65","Albania"," Beer",2005,1.65
"66","Albania"," Beer",2004,1.38
"67","Albania"," Beer",2003,1.45
"68","Albania"," Beer",2002,1.29
"69","Albania"," Beer",2001,1.49
"70","Albania"," Beer",2000,1.33
"71","Albania"," Wine",2009,1.06
"72","Albania"," Wine",2008,0.97
"73","Albania"," Wine",2007,1.06
"74","Albania"," Wine",2006,1
"75","Albania"," Wine",2005,1.02
"76","Albania"," Wine",2004,0.82
"77","Albania"," Wine",2003,0.58
"78","Albania"," Wine",2002,0.4
"79","Albania"," Wine",2001,0.8
"80","Albania"," Wine",2000,0.42
"81","Albania"," Spirits",2009,2.41
"82","Albania"," Spirits",2008,2.35
"83","Albania"," Spirits",2007,2.35
"84","Albania"," Spirits",2006,2.28
"85","Albania"," Spirits",2005,2.22
"86","Albania"," Spirits",2004,2.14
"87","Albania"," Spirits",2003,2.22
"88","Albania"," Spirits",2002,2.18
"89","Albania"," Spirits",2001,2.13
"90","Albania"," Spirits",2000,2.08
"91","Albania"," Other alcoholic beverages",2009,0.12
"92","Albania"," Other alcoholic beverages",2008,0.11
"93","Albania"," Other alcoholic beverages",2007,0.11
"94","Albania"," Other alcoholic beverages",2006,0.1
"95","Albania"," Other alcoholic beverages",2005,0.09
"96","Albania"," Other alcoholic beverages",2004,0.09
"97","Albania"," Other alcoholic beverages",2003,0.09
"98","Albania"," Other alcoholic beverages",2002,0.09
"99","Albania"," Other alcoholic beverages",2001,0.09
"100","Albania"," Other alcoholic beverages",2000,0.09
"101","Algeria"," All types",2009,0.43
"102","Algeria"," All types",2008,0.37
"103","Algeria"," All types",2007,0.34
"104","Algeria"," All types",2006,0.38
"105","Algeria"," All types",2005,0.5
"106","Algeria"," All types",2004,0.45
