,,"Alcohol, consumers past 12 months (%)","Alcohol, consumers past 12 months (%)","Alcohol, consumers past 12 months (%)"
"Country","Year","Both sexes","Male","Female"
"Afghanistan","2016","0.7","1","0.3"
"Albania","2016","51","65","37.6"
"Algeria","2016","3.2","4.8","1.5"
"Andorra","2016","74.6","85.2","64.3"
"Angola","2016","47.7","61.6","34.3"
"Antigua and Barbuda","2016","49.4","63.9","36.5"
"Argentina","2016","67.4","79.9","55.7"
"Armenia","2016","26","38","16.2"
"Australia","2016","79.4","88.3","70.6"
"Austria","2016","78.1","87.7","68.9"
"Azerbaijan","2016","21.9","31.6","12.8"
"Bahamas","2016","43.8","57.9","30.5"
"Bahrain","2016","8.8","11.5","3.8"
"Bangladesh","2016","2.2","3.5","1"
"Barbados","2016","50.5","65.2","37.4"
"Belarus","2016","73.6","79","69.2"
"Belgium","2016","76.5","86.6","66.8"
"Belize","2016","41.5","54.9","28.4"
"Benin","2016","26.1","37","15.4"
"Bhutan","2016","29.6","39.8","17.3"
"Bolivia (Plurinational State of)","2016","45.4","59.1","31.9"
"Bosnia and Herzegovina","2016","47.9","62.1","34"
"Botswana","2016","32","44","20"
"Brazil","2016","40.3","54","27.3"
"Brunei Darussalam","2016","33.3","37.3","29.1"
"Bulgaria","2016","66","79.2","53.9"
"Burkina Faso","2016","36.9","51.2","23.2"
"Burundi","2016","31.6","43.7","20"
"Cabo Verde","2016","39.4","53.8","25"
"Cambodia","2016","30.9","43.2","19.6"
"Cameroon","2016","33.8","46.9","21.4"
"Canada","2016","64.5","77.3","52.1"
"Central African Republic","2016","37.6","50.8","24.9"
"Chad","2016","22.4","31.7","13.1"
"Chile","2016","67.6","80","55.8"
"China","2016","55.9","68.6","42.6"
"Colombia","2016","38.3","51.7","25.6"
"Comoros","2016","4.1","6.2","1.9"
"Congo","2016","51.7","65.5","38"
"Cook Islands","2016","50.6","64.5","37"
"Costa Rica","2016","36.6","49.5","23.9"
"Côte d'Ivoire","2016","38.5","52.3","24.1"
"Croatia","2016","59.7","73.9","46.8"
"Cuba","2016","46.1","59.9","32.3"
"Cyprus","2016","68.8","80.6","56.6"
"Czechia","2016","75.4","86","65.4"
"Democratic People's Republic of Korea","2016","40.3","53.7","27.7"
"Democratic Republic of the Congo","2016","36.4","49.2","23.8"
"Denmark","2016","74.4","85","64.2"
"Djibouti","2016","19.7","28.2","11.1"
"Dominica","2016","45.2","59","31.7"
"Dominican Republic","2016","43","56.7","29.7"
"Ecuador","2016","46.5","60.3","32.9"
"Egypt","2016","2.8","4.2","1.4"
"El Salvador","2016","29.4","41.8","19"
"Equatorial Guinea","2016","72.9","83.3","61.7"
"Eritrea","2016","20.3","29.2","11.6"
"Estonia","2016","72.8","84.9","62.6"
"Eswatini","2016","28.8","40.4","17.7"
"Ethiopia","2016","22.6","32.1","13.2"
"Fiji","2016","17.7","25.5","9.8"
"Finland","2016","72.5","83.8","61.7"
"France","2016","75.3","85.8","65.6"
"Gabon","2016","66.5","78.6","54.1"
"Gambia","2016","26.7","37.8","16.2"
"Georgia","2016","35.1","48.9","23"
"Germany","2016","79.4","88.5","70.6"
"Ghana","2016","26","36.8","15.7"
"Greece","2016","65.4","78.3","53.3"
"Grenada","2016","49.6","63.6","35.7"
"Guatemala","2016","27.3","38.6","16.9"
"Guinea","2016","21.6","30.7","12.6"
"Guinea-Bissau","2016","28.8","40.5","17.5"
"Guyana","2016","39.1","52.2","25.9"
"Haiti","2016","35.1","47.9","22.9"
"Honduras","2016","29.8","41.3","18.5"
"Hungary","2016","66.6","79.9","54.8"
"Iceland","2016","71.5","82.6","60.3"
"India","2016","38.8","51.4","25.4"
"Indonesia","2016","22.7","32.3","13.2"
"Iran (Islamic Republic of)","2016","3.5","6","1.1"
"Iraq","2016","3.1","4.7","1.5"
