,,"Alcohol, heavy episodic drinking (15+), drinkers only, past 30 days (%)","Alcohol, heavy episodic drinking (15+), drinkers only, past 30 days (%)","Alcohol, heavy episodic drinking (15+), drinkers only, past 30 days (%)"
"Country","Year","Both sexes","Male","Female"
"Afghanistan","2016","2","2.3","0.5"
"Albania","2016","44.7","57.4","23.7"
"Algeria","2016","19.3","23.5","6.2"
"Andorra","2016","40.5","55","21.7"
"Angola","2016","81.6","90.1","66.8"
"Antigua and Barbuda","2016","47.2","60.9","25.9"
"Argentina","2016","32.5","45.5","15.2"
"Armenia","2016","40.3","51.6","18.9"
"Australia","2016","45.3","60.7","26.4"
"Austria","2016","42.5","58","23.8"
"Azerbaijan","2016","36.9","46","15.6"
"Bahamas","2016","43.5","55.7","21.7"
"Bahrain","2016","29.5","33","9.4"
"Bangladesh","2016","36.8","43.1","14.4"
"Barbados","2016","46.9","60.5","25.8"
"Belarus","2016","34.1","51.3","17.7"
"Belgium","2016","42.1","57.3","23.3"
"Belize","2016","47.3","59.3","24.7"
"Benin","2016","37.3","46.5","15.8"
"Bhutan","2016","37.8","45.6","16"
"Bolivia (Plurinational State of)","2016","46.5","58.6","24.2"
"Bosnia and Herzegovina","2016","41.8","53.7","20.4"
"Botswana","2016","59.4","70.8","34.8"
"Brazil","2016","48.1","60.3","25.1"
"Brunei Darussalam","2016","30.6","38.8","19.4"
"Bulgaria","2016","50.6","65.9","29.8"
"Burkina Faso","2016","46.3","57.5","22.5"
"Burundi","2016","52.6","64.2","28.6"
"Cabo Verde","2016","41.9","52.7","19.2"
"Cambodia","2016","37.3","47.7","16.3"
"Cameroon","2016","47.4","58.5","23.7"
"Canada","2016","32.9","45","15.5"
"Central African Republic","2016","77.3","86.6","59.1"
"Chad","2016","34.8","43.4","14.3"
"Chile","2016","32","44.5","14.7"
"China","2016","40.7","52.9","20.1"
"Colombia","2016","39.9","51","18.6"
"Comoros","2016","6.7","8.2","1.9"
"Congo","2016","82.6","90.7","68.6"
"Cook Islands","2016","81","89.8","65.9"
"Costa Rica","2016","38","48.2","17.2"
"Côte d'Ivoire","2016","46.6","56.9","23.1"
"Croatia","2016","46.3","60.8","25.3"
"Cuba","2016","43.4","55","21.7"
"Cyprus","2016","40.8","54.3","20.9"
"Czechia","2016","55.9","71.6","36.1"
"Democratic People's Republic of Korea","2016","33.5","44.1","14.2"
"Democratic Republic of the Congo","2016","77.1","86.3","58.6"
"Denmark","2016","40","54.3","21.5"
"Djibouti","2016","40.8","49.8","17.9"
"Dominica","2016","47.1","59.3","24.8"
"Dominican Republic","2016","46.1","58.1","23.9"
"Ecuador","2016","45.8","58.1","23.7"
"Egypt","2016","18.5","22.6","5.9"
"El Salvador","2016","34.8","45.4","15.5"
"Equatorial Guinea","2016","88.1","94.3","79.1"
"Eritrea","2016","42.9","52.5","19.3"
"Estonia","2016","57.4","74.5","37.7"
"Eswatini","2016","60","71.4","35.2"
"Ethiopia","2016","45.2","55.2","21.3"
"Fiji","2016","62.4","72","36.7"
"Finland","2016","39","53.3","20.4"
"France","2016","41.5","56.7","23"
"Gabon","2016","86.2","93.3","75.6"
"Gambia","2016","38.1","47.7","16.8"
"Georgia","2016","47","59.4","23.9"
"Germany","2016","43.1","58.7","24.4"
"Ghana","2016","36.2","45.5","15.4"
"Greece","2016","36.1","49.4","18"
"Grenada","2016","50.8","63.7","27.8"
"Guatemala","2016","35","44.6","14.9"
"Guinea","2016","33.4","41.6","13.5"
"Guinea-Bissau","2016","39.5","49.2","17.5"
"Guyana","2016","45.7","57","22.7"
"Haiti","2016","44.1","55.5","21.5"
