"","","Alcohol, abstainers past 12 months (%)","Alcohol, abstainers past 12 months (%)","Alcohol, abstainers past 12 months (%)"
"Country","Year"," Both sexes"," Male"," Female"
"Afghanistan"," 2016","99.3","99.0","99.7"
"Albania"," 2016","49.0","35.0","62.4"
"Algeria"," 2016","96.8","95.2","98.5"
"Andorra"," 2016","25.4","14.8","35.7"
"Angola"," 2016","52.3","38.4","65.7"
"Antigua and Barbuda"," 2016","50.6","36.1","63.5"
"Argentina"," 2016","32.6","20.1","44.3"
"Armenia"," 2016","74.0","62.0","83.8"
"Australia"," 2016","20.6","11.7","29.4"
"Austria"," 2016","21.9","12.3","31.1"
"Azerbaijan"," 2016","78.1","68.4","87.2"
"Bahamas"," 2016","56.2","42.1","69.5"
"Bahrain"," 2016","91.2","88.5","96.2"
"Bangladesh"," 2016","97.8","96.5","99.0"
"Barbados"," 2016","49.5","34.8","62.6"
"Belarus"," 2016","26.4","21.0","30.8"
"Belgium"," 2016","23.5","13.4","33.2"
"Belize"," 2016","58.5","45.1","71.6"
"Benin"," 2016","73.9","63.0","84.6"
"Bhutan"," 2016","70.4","60.2","82.7"
"Bolivia (Plurinational State of)"," 2016","54.6","40.9","68.1"
"Bosnia and Herzegovina"," 2016","52.1","37.9","66.0"
"Botswana"," 2016","68.0","56.0","80.0"
"Brazil"," 2016","59.7","46.0","72.7"
"Brunei Darussalam"," 2016","66.7","62.7","70.9"
"Bulgaria"," 2016","34.0","20.8","46.1"
"Burkina Faso"," 2016","63.1","48.8","76.8"
"Burundi"," 2016","68.4","56.3","80.0"
"Cabo Verde"," 2016","66.2","53.1","78.6"
"Cambodia"," 2016","69.1","56.8","80.4"
"Cameroon"," 2016","60.6","46.2","75.0"
"Canada"," 2016","35.5","22.7","47.9"
"Central African Republic"," 2016","62.4","49.2","75.1"
"Chad"," 2016","77.6","68.3","86.9"
"Chile"," 2016","32.4","20.0","44.2"
"China"," 2016","44.1","31.4","57.4"
"Colombia"," 2016","61.7","48.3","74.4"
"Comoros"," 2016","95.9","93.8","98.1"
"Congo"," 2016","48.3","34.5","62.0"
"Cook Islands"," 2016","49.4","35.5","63.0"
"Costa Rica"," 2016","63.4","50.5","76.1"
"Côte d'Ivoire"," 2016","61.5","47.7","75.9"
"Croatia"," 2016","40.3","26.1","53.2"
"Cuba"," 2016","53.9","40.1","67.7"
"Cyprus"," 2016","31.2","19.4","43.4"
"Czechia"," 2016","24.6","14.0","34.6"
"Democratic People's Republic of Korea"," 2016","59.7","46.3","72.3"
"Democratic Republic of the Congo"," 2016","63.6","50.8","76.2"
"Denmark"," 2016","25.6","15.0","35.8"
"Djibouti"," 2016","80.3","71.8","88.9"
"Dominica"," 2016","54.8","41.0","68.3"
"Dominican Republic"," 2016","57.0","43.3","70.3"
"Ecuador"," 2016","53.5","39.7","67.1"
"Egypt"," 2016","97.2","95.8","98.6"
"El Salvador"," 2016","70.6","58.2","81.0"
"Equatorial Guinea"," 2016","27.1","16.7","38.3"
"Eritrea"," 2016","79.7","70.8","88.4"
"Estonia"," 2016","27.2","15.1","37.4"
"Eswatini"," 2016","71.2","59.6","82.3"
"Ethiopia"," 2016","77.4","67.9","86.8"
"Fiji"," 2016","82.3","74.5","90.2"
"Finland"," 2016","27.5","16.2","38.3"
"France"," 2016","24.7","14.2","34.4"
"Gabon"," 2016","33.5","21.4","45.9"
"Gambia"," 2016","73.3","62.2","83.8"
"Georgia"," 2016","64.9","51.1","77.0"
"Germany"," 2016","20.6","11.5","29.4"
"Ghana"," 2016","74.0","63.2","84.3"
"Greece"," 2016","34.6","21.7","46.7"
"Grenada"," 2016","50.4","36.4","64.3"
"Guatemala"," 2016","72.7","61.4","83.1"
"Guinea"," 2016","78.4","69.3","87.4"
"Guinea-Bissau"," 2016","71.2","59.5","82.5"
"Guyana"," 2016","60.9","47.8","74.1"
"Haiti"," 2016","64.9","52.1","77.1"
"Honduras"," 2016","70.2","58.7","81.5"
"Hungary"," 2016","33.4","20.1","45.2"
"Iceland"," 2016","28.5","17.4","39.7"
"India"," 2016","61.2","48.6","74.6"
"Indonesia"," 2016","77.3","67.7","86.8"
