"","","Alcohol, former drinkers (%)","Alcohol, former drinkers (%)","Alcohol, former drinkers (%)"
"Country","Year"," Both sexes"," Male"," Female"
"Afghanistan"," 2016","0.3","0.4","0.1"
"Albania"," 2016","23.8","21","26.5"
"Algeria"," 2016","3.3","5.1","1.5"
"Andorra"," 2016","15","9.9","20.1"
"Angola"," 2016","18.4","17.8","19"
"Antigua and Barbuda"," 2016","23","20.6","25.1"
"Argentina"," 2016","26","17","34.3"
"Armenia"," 2016","28.6","32.9","25.1"
"Australia"," 2016","12.1","7.7","16.5"
"Austria"," 2016","13.1","8.2","17.8"
"Azerbaijan"," 2016","24.9","30.6","19.5"
"Bahamas"," 2016","23.3","22.5","23.9"
"Bahrain"," 2016","6.8","9","2.8"
"Bangladesh"," 2016","5.3","7.6","2.9"
"Barbados"," 2016","24.4","21.2","27.3"
"Belarus"," 2016","18.9","15.1","22"
"Belgium"," 2016","14.1","9","19"
"Belize"," 2016","24.1","24.1","24.1"
"Benin"," 2016","4.4","3.7","5.1"
"Bhutan"," 2016","5.6","7.6","3.1"
"Bolivia (Plurinational State of)"," 2016","42.6","34.9","50.2"
"Bosnia and Herzegovina"," 2016","24.6","22.4","26.8"
"Botswana"," 2016","15","18","12.1"
"Brazil"," 2016","38.3","34.5","41.9"
"Brunei Darussalam"," 2016","28.1","20.5","36.2"
"Bulgaria"," 2016","20","14.1","25.6"
"Burkina Faso"," 2016","4.7","1.7","7.5"
"Burundi"," 2016","15.5","18.6","12.6"
"Cabo Verde"," 2016","5","2","7.9"
"Cambodia"," 2016","23.5","26.5","20.8"
"Cameroon"," 2016","5.2","4.6","5.8"
"Canada"," 2016","23.3","16.7","29.7"
"Central African Republic"," 2016","18.8","20.4","17.2"
"Chad"," 2016","5","5.5","4.4"
"Chile"," 2016","25.7","16.9","34.2"
"China"," 2016","2.1","2.3","1.8"
"Colombia"," 2016","35.4","33.5","37.1"
"Comoros"," 2016","2.6","4.1","1.2"
"Congo"," 2016","18.6","17.1","20.1"
"Cook Islands"," 2016","25.4","22.2","28.6"
"Costa Rica"," 2016","35.5","34.5","36.5"
"Côte d'Ivoire"," 2016","4.7","2","7.6"
"Croatia"," 2016","21.8","16.7","26.4"
"Cuba"," 2016","24.2","22.8","25.6"
"Cyprus"," 2016","17.5","12.5","22.7"
"Czechia"," 2016","15.3","9.7","20.6"
"Democratic People's Republic of Korea"," 2016","1.7","1.9","1.4"
"Democratic Republic of the Congo"," 2016","18.5","20.5","16.6"
"Denmark"," 2016","14.9","9.9","19.7"
"Djibouti"," 2016","11.4","15.6","7.3"
"Dominica"," 2016","24.6","23.3","25.9"
"Dominican Republic"," 2016","24.2","23.7","24.7"
"Ecuador"," 2016","41.9","34","49.7"
"Egypt"," 2016","2.9","4.6","1.3"
"El Salvador"," 2016","35.6","37.3","34.2"
"Equatorial Guinea"," 2016","12.6","9.2","16.3"
"Eritrea"," 2016","11.6","15.7","7.6"
"Estonia"," 2016","15.6","9.8","20.5"
"Eswatini"," 2016","15.4","18.8","12.1"
"Ethiopia"," 2016","12.7","16.8","8.8"
"Fiji"," 2016","22","28.4","15.5"
"Finland"," 2016","16.1","10.7","21.2"
"France"," 2016","14.8","9.5","19.8"
"Gabon"," 2016","15.2","11.7","18.8"
"Gambia"," 2016","4.7","4","5.4"
"Georgia"," 2016","31","31.2","30.7"
"Germany"," 2016","12.7","7.8","17.4"
"Ghana"," 2016","4.5","4.3","4.7"
"Greece"," 2016","19.6","14.2","24.7"
"Grenada"," 2016","23.8","21.3","26.2"
"Guatemala"," 2016","34.6","37.5","31.8"
"Guinea"," 2016","4.8","5.3","4.2"
"Guinea-Bissau"," 2016","5.1","4.5","5.7"
"Guyana"," 2016","24.7","25.2","24.1"
"Haiti"," 2016","24.5","26.2","22.9"
"Honduras"," 2016","35.4","37.3","33.5"
"Hungary"," 2016","19.2","13.3","24.5"
"Iceland"," 2016","15.8","11","20.5"
"India"," 2016","7.6","9.4","5.8"
"Indonesia"," 2016","20.1","25.1","15"
"Iran (Islamic Republic of)"," 2016","0.4","0.7","0.2"
"Iraq"," 2016","3.1","4.8","1.4"
"Ireland"," 2016","11.4","7","15.7"
"Israel"," 2016","20.7","17.6","23.6"
"Italy"," 2016","4.8","3.7","6.8"
"Jamaica"," 2016","24.3","26.2","22.5"
"Japan"," 2016","33.8","24.4","42.6"
"Jordan"," 2016","3.1","4.8","1.4"
"Kazakhstan"," 2016","28.5","27.6","29.4"
"Kenya"," 2016","13","16.9","9.1"
